Model,loss,mse,psnr
Dense Autoencoder,0.11185605823993683,0.016178281977772713,18.37860679626465
Conv2DTranspose Autoencoder,0.09527117758989334,0.010759747587144375,20.01333236694336
UpSampling2D Autoencoder,0.09376504272222519,0.010337487794458866,20.206796646118164
